                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 0.4076,                 0.6699,                0.93621,                0.95344,                      1,                  0.995,                  0.995,                0.28174,                0.92008,                 0.7657,             0.00012593,             0.00012593,             0.00012593
                     90,                0.33404,                0.47009,                0.87931,                0.95344,                      1,                  0.995,                  0.995,                0.28174,                0.92008,                 0.7657,             0.00011757,             0.00011757,             0.00011757
                     91,                0.25306,                0.74364,                0.80135,                0.95344,                      1,                  0.995,                  0.995,                0.28174,                0.92008,                 0.7657,             0.00010899,             0.00010899,             0.00010899
                     92,                0.26634,                0.73616,                0.78633,                0.96774,                      1,                  0.995,                  0.995,                0.26895,                0.70364,                0.76293,             0.00010019,             0.00010019,             0.00010019
                     93,                0.28241,                0.68542,                0.86357,                0.96774,                      1,                  0.995,                  0.995,                0.26895,                0.70364,                0.76293,             9.1173e-05,             9.1173e-05,             9.1173e-05
                     94,                0.33386,                0.69065,                0.87545,                0.96774,                      1,                  0.995,                  0.995,                0.26895,                0.70364,                0.76293,             8.1935e-05,             8.1935e-05,             8.1935e-05
                     95,                0.30214,                 0.7555,                0.93292,                0.96774,                      1,                  0.995,                  0.995,                0.26895,                0.70364,                0.76293,             7.2477e-05,             7.2477e-05,             7.2477e-05
                     96,                0.34789,                0.68804,                0.94247,                0.96898,                      1,                  0.995,                  0.995,                0.26402,                0.57761,                0.75965,             6.2799e-05,             6.2799e-05,             6.2799e-05
                     97,                0.34387,                0.61946,                0.86608,                0.96898,                      1,                  0.995,                  0.995,                0.26402,                0.57761,                0.75965,             5.2901e-05,             5.2901e-05,             5.2901e-05
                     98,                0.27387,                 0.6182,                0.77652,                0.96898,                      1,                  0.995,                  0.995,                0.26402,                0.57761,                0.75965,             4.2783e-05,             4.2783e-05,             4.2783e-05
                     99,                0.25507,                0.63359,                0.86762,                0.96898,                      1,                  0.995,                  0.995,                0.26402,                0.57761,                0.75965,             3.2446e-05,             3.2446e-05,             3.2446e-05
                    100,                0.26137,                0.64977,                0.85725,                0.96988,                      1,                  0.995,                0.98501,                0.25592,                0.54868,                0.75408,             2.1888e-05,             2.1888e-05,             2.1888e-05
